epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4016,0.69879,1.70803,0.84962,0.694,0.7033,0.60818,0.49618,0.65806,4.62684,0.83017,0.00056,0.00056,0.00056
2,48.4622,0.68827,0.52685,0.85002,0.96038,0.97802,0.97591,0.80273,0.68156,0.96722,0.83392,0.00102714,0.00102714,0.00102714
3,58.2855,0.64021,0.46176,0.83474,0.98912,0.99862,0.99478,0.83916,0.71505,0.4965,0.83748,0.00137944,0.00137944,0.00137944
4,63.3664,0.65098,0.43937,0.83167,0.989,0.98812,0.99289,0.84201,0.57486,0.48457,0.81156,0.001406,0.001406,0.001406
5,68.2506,0.58401,0.40229,0.82742,0.98901,0.98858,0.99316,0.85002,0.58125,0.42095,0.81119,0.001208,0.001208,0.001208
6,73.2087,0.56614,0.37025,0.82885,1,0.98876,0.99353,0.89549,0.49654,0.32188,0.79953,0.00101,0.00101,0.00101
7,81.735,0.57201,0.36599,0.8157,1,0.99827,0.995,0.88037,0.52127,0.33869,0.79922,0.000812,0.000812,0.000812
8,87.5261,0.52887,0.34415,0.81663,0.99911,0.98901,0.99362,0.89854,0.44675,0.30937,0.79406,0.000614,0.000614,0.000614
9,95.7718,0.47324,0.30938,0.81543,0.99939,0.98901,0.99344,0.91241,0.4428,0.284,0.79258,0.000416,0.000416,0.000416
10,100.731,0.46166,0.28871,0.793,0.99984,0.98901,0.99468,0.91743,0.43008,0.26971,0.79058,0.000218,0.000218,0.000218
